operation,model,target,seconds,words
scan_target,haiku,profile,68,1262
scan_target,sonnet,profile,39,1183
scan_target,opus,profile,79,1658
scan_target,haiku,starlette,54,1514
scan_target,sonnet,starlette,33,1098
scan_target,opus,starlette,48,1550
scan_3way,haiku,profile,27,133
scan_3way,sonnet,profile,7,168
scan_3way,opus,profile,7,129
scan_behavioral,haiku,starlette,220,7154
scan_behavioral,sonnet,starlette,255,8656
scan_behavioral,opus,starlette,345,6966
solve_single,haiku,profile,66,648
solve_single,sonnet,profile,35,931
solve_single,opus,profile,26,644
solve_single,haiku,starlette,43,905
solve_single,sonnet,starlette,104,1414
solve_single,opus,starlette,86,1348
solve_full,haiku,profile,151,4566
solve_full,sonnet,profile,285,8609
solve_full,opus,profile,252,11660
calibrate_quick,haiku,starlette,8,42
calibrate_quick,sonnet,starlette,6,39
calibrate_deep,sonnet,starlette,1644,17878
calibrate_deep,opus,starlette,643,1724
validate,haiku,starlette,83,1260
validate,sonnet,starlette,50,1011
